Czech Republic Inflation Rate - Historical Data,,
Year,Inflation Rate (%),Annual Change
2022,15.10%,11.26%
2021,3.84%,0.68%
2020,3.16%,0.31%
2019,2.85%,0.70%
2018,2.15%,-0.30%
2017,2.45%,1.77%
2016,0.68%,0.37%
2015,0.31%,-0.03%
2014,0.34%,-1.09%
2013,1.44%,-1.85%
2012,3.29%,1.37%
2011,1.92%,0.44%
2010,1.47%,0.45%
2009,1.02%,-5.34%
2008,6.36%,3.51%
2007,2.85%,0.32%
2006,2.53%,0.68%
2005,1.86%,-0.90%
2004,2.76%,2.64%
2003,0.12%,-1.78%
2002,1.90%,-2.76%
2001,4.66%,0.89%
2000,3.78%,1.64%
1999,2.14%,-8.56%
1998,10.70%,2.10%
1997,8.60%,-0.16%
1996,8.76%,-0.23%
1995,8.99%,-1.05%
1994,10.04%,-10.77%
1993,20.81%,9.73%
1992,11.09%,11.09%
1991,0.00%,0.00%
1990,0.00%,0.00%
1989,0.00%,0.00%
1988,0.00%,0.00%
1987,0.00%,0.00%
1986,0.00%,0.00%
1985,0.00%,0.00%
1984,0.00%,0.00%
1983,0.00%,0.00%
1982,0.00%,0.00%
1981,0.00%,0.00%
1980,0.00%,0.00%
1979,0.00%,0.00%
1978,0.00%,0.00%
1977,0.00%,0.00%
1976,0.00%,0.00%
1975,0.00%,0.00%
1974,0.00%,0.00%
1973,0.00%,0.00%
1972,0.00%,0.00%
1971,0.00%,0.00%
1970,0.00%,0.00%
1969,0.00%,0.00%
1968,0.00%,0.00%
1967,0.00%,0.00%
1966,0.00%,0.00%
1965,0.00%,0.00%
1964,0.00%,0.00%
1963,0.00%,0.00%
1962,0.00%,0.00%
1961,0.00%,0.00%
1960,0.00%,0.00%
